A,X,H,T,F,accession,domain_id,ec,organism_name,protein_name,gene_names,length,source_id,d_type,t_id,f_id,ecod_uid,range
a/b barrels,TIM beta/alpha-barrel,TIM barrels,TIM barrels,,A0A0D2GEW8,nD1,4.3.1.27,Fonsecaea pedrosoi CBS 271.37,Probable beta-glucosidase btgE (EC 3.2.1.21) (Beta-D-glucoside glucohydrolase btgE) (Cellobiase btgE) (Gentiobiase btgE),Z517_05960,654,A0A0D2GEW8_F1,AFDB,2002.1.1,NO_F_GROUP,3727560,381-654
beta sandwiches,jelly-roll,Double-stranded beta-helix,Double-stranded beta-helix,PMI_typeI_cat,A0A0D2GQV2,nD1,4.3.1.27,Fonsecaea pedrosoi CBS 271.37,Mannose-6-phosphate isomerase (EC 5.3.1.8) (Phosphohexomutase) (Phosphomannose isomerase),Z517_03963,407,A0A0D2GQV2_F1,AFDB,10.12.1,10.12.1.62,3734409,"1-160,241-315"
alpha superhelices,Repetitive alpha hairpins,alpha/alpha toroid,alpha/alpha toroid,Glyco_hydro_15,A0A0D2GV95,nD1,4.3.1.27,Fonsecaea pedrosoi CBS 271.37,"Glucoamylase (EC 3.2.1.3) (1,4-alpha-D-glucan glucohydrolase) (Glucan 1,4-alpha-glucosidase)",Z517_05527,617,A0A0D2GV95_F1,AFDB,109.2.1,109.2.1.2,3734665,26-500
a/b three-layered sandwiches,"Phosphoglucomutase, first 3 domains","Phosphoglucomutase, first 3 domains","Phosphoglucomutase, first 3 domains",PGM_PMM_I,A0A0D2GZA8,nD1,4.3.1.27,Fonsecaea pedrosoi CBS 271.37,"phosphoglucomutase (alpha-D-glucose-1,6-bisphosphate-dependent) (EC 5.4.2.2)",Z517_03181,555,A0A0D2GZA8_F1,AFDB,7528.1.1,7528.1.1.1,3733958,6-185
alpha superhelices,Repetitive alpha hairpins,alpha/alpha toroid,alpha/alpha toroid,,A0A0D2H2P1,nD1,4.3.1.27,Fonsecaea pedrosoi CBS 271.37,"alpha,alpha-trehalase (EC 3.2.1.28)",Z517_00494,1085,A0A0D2H2P1_F1,AFDB,109.2.1,NO_F_GROUP,3731097,36-790
a/b three-layered sandwiches,beta-carbonic anhydrase-like,beta-carbonic anhydrase,beta-carbonic anhydrase,Pro_CA,A0A0D2H6A7,nD1,4.3.1.27,Fonsecaea pedrosoi CBS 271.37,Carbonic anhydrase (EC 4.2.1.1) (Carbonate dehydratase),Z517_06794,237,A0A0D2H6A7_F1,AFDB,4126.1.1,4126.1.1.1,3723897,11-220
a+b four layers,Carbon-nitrogen hydrolase-like,Carbon-nitrogen hydrolase,Carbon-nitrogen hydrolase,CN_hydrolase,A0A0D2HA79,nD1,4.3.1.27,Fonsecaea pedrosoi CBS 271.37,nitrilase (EC 3.5.5.1),Z517_04474,351,A0A0D2HA79_F1,AFDB,246.1.1,246.1.1.1,3732814,6-325
beta sandwiches,Glycosyl hydrolase domain-like,supersandwich,supersandwich,,A0A0D2HA85,nD1,4.3.1.27,Fonsecaea pedrosoi CBS 271.37,alpha-glucosidase (EC 3.2.1.20),Z517_04479,996,A0A0D2HA85_F1,AFDB,12.3.1,NO_F_GROUP,3722550,36-310
alpha arrays,HTH,HTH,"tetra-helical, lambda repressor-like",,A0A0D2HBW9,nD1,4.3.1.27,Fonsecaea pedrosoi CBS 271.37,Cyanate hydratase (Cyanase) (EC 4.2.1.104) (Cyanate hydrolase) (Cyanate lyase),cyn1 Z517_05036,160,A0A0D2HBW9_F1,AFDB,101.1.4,NO_F_GROUP,3722067,6-90
a/b three-layered sandwiches,HAD domain-like,HAD domain-related,HAD-like,PMM,A0A0D2HEQ5,nD1,4.3.1.27,Fonsecaea pedrosoi CBS 271.37,Phosphomannomutase (EC 5.4.2.8),Z517_02172,270,A0A0D2HEQ5_F1,AFDB,2006.1.1,2006.1.1.5,3722757,"6-95,201-270"
a+b two layers,BtrG-like (Pfam 03674),BtrG-like (Pfam 03674),BtrG-like (Pfam 03674),,A0A0D2HEZ0,nD1,4.3.1.27,Fonsecaea pedrosoi CBS 271.37,gamma-glutamylcyclotransferase (EC 4.3.2.9),Z517_02232,373,A0A0D2HEZ0_F1,AFDB,810.1.1,NO_F_GROUP,3728241,"11-48,71-255"
beta sandwiches,jelly-roll,Galactose-binding domain-like,Galactose-binding domain-like,Glyco_hydro_2_N2,A0A0D2HGX4,nD1,4.3.1.27,Fonsecaea pedrosoi CBS 271.37,Beta-mannosidase B (EC 3.2.1.25) (Mannanase B),Z517_02950,854,A0A0D2HGX4_F1,AFDB,10.32.1,10.32.1.88,3733279,16-205
beta sandwiches,Glycosyl hydrolase domain-like,supersandwich,supersandwich,,A0A0D2HLQ4,nD1,4.3.1.27,Fonsecaea pedrosoi CBS 271.37,Probable alpha/beta-glucosidase agdC (EC 3.2.1.20) (EC 3.2.1.21),Z517_00794,891,A0A0D2HLQ4_F1,AFDB,12.3.1,NO_F_GROUP,3729031,21-245
a/b three-layered sandwiches,PLP-dependent transferases,PLP-dependent transferases,PLP-dependent transferases,Aminotran_1_2,A0A0D2HM79,nD1,4.3.1.27,Fonsecaea pedrosoi CBS 271.37,Aspartate aminotransferase (EC 2.6.1.1),Z517_00936,406,A0A0D2HM79_F1,AFDB,7577.1.1,7577.1.1.1,3732591,6-325
a/b three-layered sandwiches,PLP-dependent transferases,PLP-dependent transferases,PLP-dependent transferases,Aminotran_5,A0A0D2HN85,nD1,4.3.1.27,Fonsecaea pedrosoi CBS 271.37,alanine--glyoxylate transaminase (EC 2.6.1.44),Z517_01292,386,A0A0D2HN85_F1,AFDB,7577.1.1,7577.1.1.3,3732038,6-310
a/b three-layered sandwiches,"The ""swivelling"" beta/beta/alpha domains","The ""swivelling"" beta/beta/alpha domain","The ""swivelling"" beta/beta/alpha domain",CPSase_sm_chain,A0A0D2HNZ2,nD1,4.3.1.27,Fonsecaea pedrosoi CBS 271.37,"Unplaced genomic scaffold supercont1.1, whole genome shotgun sequence",Z517_01579,2287,A0A0D2HNZ2_F1,AFDB,2487.1.1,2487.1.1.5,3723150,"66-215,241-255"
beta sandwiches,Immunoglobulin-like beta-sandwich,Immunoglobulin-related,Immunoglobulin/Fibronectin type III/E set domains/PapD-like,Lipin_N,A0A0G2JW03,nD1,4.3.1.27,Rattus norvegicus (Rat),phosphatidate phosphatase (EC 3.1.3.4),Lpin1,973,A0A0G2JW03_F1,AFDB,11.1.1,11.1.1.373,3754363,"26-90,661-700"
a/b barrels,TIM beta/alpha-barrel,TIM barrels,TIM barrels,Ribul_P_3_epim,A0A0G2JW38,nD1,4.3.1.27,Rattus norvegicus (Rat),Ribulose-phosphate 3-epimerase (EC 5.1.3.1),Rpe,233,A0A0G2JW38_F1,AFDB,2002.1.1,2002.1.1.37,3746140,1-228
a/b barrels,TIM beta/alpha-barrel,TIM barrels,TIM barrels,Ribul_P_3_epim,A0A0G2JW38,nD1,4.3.1.27,Rattus norvegicus (Rat),Ribulose-phosphate 3-epimerase (EC 5.1.3.1),Rpe,233,A0A0G2JW38_F1,AFDB,2002.1.1,2002.1.1.37,3746140,1-228
a/b barrels,TIM beta/alpha-barrel,TIM barrels,TIM barrels,TIM,A0A0G2JWU1,nD1,4.3.1.27,Rattus norvegicus (Rat),Triosephosphate isomerase (EC 5.3.1.1),Tpi1l1 LOC500959,253,A0A0G2JWU1_F1,AFDB,2002.1.1,2002.1.1.3,3763746,6-253
a/b barrels,TIM beta/alpha-barrel,TIM barrels,TIM barrels,TIM,A0A0G2JWU1,nD1,4.3.1.27,Rattus norvegicus (Rat),Triosephosphate isomerase (EC 5.3.1.1),Tpi1l1 LOC500959,253,A0A0G2JWU1_F1,AFDB,2002.1.1,2002.1.1.3,3763746,6-253
beta barrels,PH domain-like,PH domain-like,PH domain-like,PH-GRAM_MTMR6-like,A0A0G2JXT6,nD1,4.3.1.27,Rattus norvegicus (Rat),"Phosphatidylinositol-3,5-bisphosphate 3-phosphatase MTMR6 (EC 3.1.3.95) (Myotubularin-related protein 6) (Phosphatidylinositol-3-phosphate phosphatase)",Mtmr6,655,A0A0G2JXT6_F1,AFDB,220.1.1,220.1.1.58,3754631,6-110
beta sandwiches,Immunoglobulin-like beta-sandwich,Immunoglobulin-related,Immunoglobulin/Fibronectin type III/E set domains/PapD-like,fn3,A0A0G2JXZ9,nD1,4.3.1.27,Rattus norvegicus (Rat),protein-tyrosine-phosphatase (EC 3.1.3.48),Ptprj,1289,A0A0G2JXZ9_F1,AFDB,11.1.1,11.1.1.2,3751614,"91-175,271-280"
a/b three-layered sandwiches,alpha/beta-Hydrolases,alpha/beta-Hydrolases,alpha/beta-Hydrolases,,A0A0G2JYG2,nD1,4.3.1.27,Rattus norvegicus (Rat),S-formylglutathione hydrolase (EC 3.1.2.12) (Esterase D),AABR07062298.1,177,A0A0G2JYG2_F1,AFDB,7579.1.1,NO_F_GROUP,3770878,6-175
a/b three-layered sandwiches,Alkaline phosphatase-like,Alkaline phosphatase-like,Alkaline phosphatase-like,Alk_phosphatase,A0A0G2JZL2,nD1,4.3.1.27,Rattus norvegicus (Rat),Alkaline phosphatase (EC 3.1.3.1),Akp3,558,A0A0G2JZL2_F1,AFDB,7515.1.1,7515.1.1.1,3764781,46-495
a/b three-layered sandwiches,Flavodoxin-like,Flavoproteins/Phosphotyrosine protein phosphatases-like,(Phosphotyrosine protein) phosphatases II,DSPc,A0A0G2K3I9,nD1,4.3.1.27,Rattus norvegicus (Rat),Dual specificity protein phosphatase (EC 3.1.3.16) (EC 3.1.3.48),Dusp3,145,A0A0G2K3I9_F1,AFDB,2007.2.3,2007.2.3.2,3747149,26-205
a/b three-layered sandwiches,Phosphoglycerate mutase-like,Phosphoglycerate mutase-like,Phosphoglycerate mutase-like,His_Phos_2,A0A0G2KB67,nD1,4.3.1.27,Rattus norvegicus (Rat),acid phosphatase (EC 3.1.3.2),Acp4 Acpt,487,A0A0G2KB67_F1,AFDB,7525.1.1,7525.1.1.2,3772213,16-365
a/b three-layered sandwiches,alpha/beta-Hydrolases,alpha/beta-Hydrolases,alpha/beta-Hydrolases,Lipase,A0A0G2KRU2,nD1,4.3.1.27,Danio rerio (Zebrafish) (Brachydanio rerio),Lipoprotein lipase (EC 3.1.1.34),LOC101884800,530,A0A0G2KRU2_F1,AFDB,7579.1.1,7579.1.1.2,3916958,36-340
mixed a+b and a/b,Ribonuclease H-like,Creatinase/prolidase N-terminal domain,Creatinase/prolidase N-terminal domain,PepQ_N,A0A0H3GGM3,nD1,4.3.1.27,Klebsiella pneumoniae subsp. pneumoniae (strain HS11286),Xaa-Pro dipeptidase (X-Pro dipeptidase) (EC 3.4.13.9) (Imidodipeptidase) (Proline dipeptidase) (Prolidase),pepQ KPHS_01870,443,A0A0H3GGM3_F1,AFDB,2484.3.1,2484.3.1.5,3946238,6-160
a/b barrels,TIM beta/alpha-barrel,TIM barrels,TIM barrels,Ala_racemase_N,A0A0H3GGW4,nD1,4.3.1.27,Klebsiella pneumoniae subsp. pneumoniae (strain HS11286),Alanine racemase (EC 5.1.1.1),KPHS_02770,359,A0A0H3GGW4_F1,AFDB,2002.1.1,2002.1.1.53,3944415,6-235
a/b barrels,TIM beta/alpha-barrel,TIM barrels,TIM barrels,ICL,A0A0H3GHC8,nD1,4.3.1.27,Klebsiella pneumoniae subsp. pneumoniae (strain HS11286),Isocitrate lyase (EC 4.1.3.1),KPHS_02300,439,A0A0H3GHC8_F1,AFDB,2002.1.1,2002.1.1.22,3944891,1-439
a/b barrels,TIM beta/alpha-barrel,TIM barrels,TIM barrels,DeoC,A0A0H3GIV1,nD1,4.3.1.27,Klebsiella pneumoniae subsp. pneumoniae (strain HS11286),Deoxyribose-phosphate aldolase (DERA) (EC 4.1.2.4) (2-deoxy-D-ribose 5-phosphate aldolase) (Phosphodeoxyriboaldolase) (Deoxyriboaldolase),deoC KPHS_06900,266,A0A0H3GIV1_F1,AFDB,2002.1.1,2002.1.1.76,3944266,1-260
alpha superhelices,Repetitive alpha hairpins,ARM repeat,ARM repeat,Aconitase_B_N,A0A0H3GJE4,nD1,4.3.1.27,Klebsiella pneumoniae subsp. pneumoniae (strain HS11286),Aconitate hydratase B (EC 4.2.1.3) (EC 4.2.1.99) (2-methylisocitrate dehydratase),KPHS_08450,839,A0A0H3GJE4_F1,AFDB,109.4.1,109.4.1.157,3941588,1-135
a+b three layers,AraD-like aldolase/epimerase,AraD-like aldolase/epimerase,AraD-like aldolase/epimerase,Aldolase_II,A0A0H3GK62,nD1,4.3.1.27,Klebsiella pneumoniae subsp. pneumoniae (strain HS11286),Rhamnulose-1-phosphate aldolase (EC 4.1.2.19),rhaD KPHS_00630,276,A0A0H3GK62_F1,AFDB,281.1.1,281.1.1.1,3947687,6-270
a+b three layers,AraD-like aldolase/epimerase,AraD-like aldolase/epimerase,AraD-like aldolase/epimerase,Aldolase_II,A0A0H3GK62,nD1,4.3.1.27,Klebsiella pneumoniae subsp. pneumoniae (strain HS11286),Rhamnulose-1-phosphate aldolase (EC 4.1.2.19),rhaD KPHS_00630,276,A0A0H3GK62_F1,AFDB,281.1.1,281.1.1.1,3947687,6-270
beta sandwiches,Glycosyl hydrolase domain-like,supersandwich,supersandwich,Aldose_epim,A0A0H3GK63,nD1,4.3.1.27,Klebsiella pneumoniae subsp. pneumoniae (strain HS11286),Aldose 1-epimerase (EC 5.1.3.3),KPHS_15920,347,A0A0H3GK63_F1,AFDB,12.3.1,12.3.1.3,3944715,1-345
a/b three-layered sandwiches,Rossmann-like,Tryptophan synthase beta subunit-like PLP-dependent enzymes,Tryptophan synthase beta subunit-like PLP-dependent enzymes,PALP,A0A0H3GKB0,nD1,4.3.1.27,Klebsiella pneumoniae subsp. pneumoniae (strain HS11286),L-threonine dehydratase (EC 4.3.1.19) (Threonine deaminase),ilvA KPHS_01180,495,A0A0H3GKB0_F1,AFDB,2003.4.1,2003.4.1.1,3946347,6-145
a+b three layers,N-acetylmuramoyl-L-alanine amidase-like,N-acetylmuramoyl-L-alanine amidase-like,N-acetylmuramoyl-L-alanine amidase-like,Amidase_2,A0A0H3GKW4,nD1,4.3.1.27,Klebsiella pneumoniae subsp. pneumoniae (strain HS11286),N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28),KPHS_17770,276,A0A0H3GKW4_F1,AFDB,285.1.1,285.1.1.1,3948953,41-195
a/b three-layered sandwiches,Rossmann-like,Tryptophan synthase beta subunit-like PLP-dependent enzymes,Tryptophan synthase beta subunit-like PLP-dependent enzymes,PALP,A0A0H3GL36,nD1,4.3.1.27,Klebsiella pneumoniae subsp. pneumoniae (strain HS11286),Diaminopropionate ammonia-lyase (EC 4.3.1.15),KPHS_18420,383,A0A0H3GL36_F1,AFDB,2003.4.1,2003.4.1.1,3946439,"16-25,46-185"
a+b three layers,AraD-like aldolase/epimerase,AraD-like aldolase/epimerase,AraD-like aldolase/epimerase,Aldolase_II,A0A0H3GLH9,nD1,4.3.1.27,Klebsiella pneumoniae subsp. pneumoniae (strain HS11286),L-ribulose-5-phosphate 4-epimerase UlaF (EC 5.1.3.4) (L-ascorbate utilization protein F) (Phosphoribulose isomerase),ulaF KPHS_04380,228,A0A0H3GLH9_F1,AFDB,281.1.1,281.1.1.1,3947715,1-220
a+b three layers,AraD-like aldolase/epimerase,AraD-like aldolase/epimerase,AraD-like aldolase/epimerase,Aldolase_II,A0A0H3GLH9,nD1,4.3.1.27,Klebsiella pneumoniae subsp. pneumoniae (strain HS11286),L-ribulose-5-phosphate 4-epimerase UlaF (EC 5.1.3.4) (L-ascorbate utilization protein F) (Phosphoribulose isomerase),ulaF KPHS_04380,228,A0A0H3GLH9_F1,AFDB,281.1.1,281.1.1.1,3947715,1-220
a/b barrels,TIM beta/alpha-barrel,TIM barrels,TIM barrels,Alpha-amylase,A0A0H3GLQ0,nD1,4.3.1.27,Klebsiella pneumoniae subsp. pneumoniae (strain HS11286),"Alpha,alpha-phosphotrehalase (EC 3.2.1.93)",KPHS_04980,551,A0A0H3GLQ0_F1,AFDB,2002.1.1,2002.1.1.4,3941864,6-475
a/b three-layered sandwiches,Macro domain-like,Macro domain-like,Macro domain-like,Peptidase_M17_N,A0A0H3GLS3,nD1,4.3.1.27,Klebsiella pneumoniae subsp. pneumoniae (strain HS11286),Probable cytosol aminopeptidase (EC 3.4.11.1) (Leucine aminopeptidase) (LAP) (EC 3.4.11.10) (Leucyl aminopeptidase),pepA KPHS_05180,503,A0A0H3GLS3_F1,AFDB,7529.1.1,7529.1.1.3,3947629,1-180
a/b three-layered sandwiches,Phosphorylase/hydrolase-like,Zn-dependent exopeptidases,Zn-dependent exopeptidases,AstE_AspA,A0A0H3GLT4,nD1,4.3.1.27,Klebsiella pneumoniae subsp. pneumoniae (strain HS11286),Succinylglutamate desuccinylase (EC 3.5.1.96),astE KPHS_21220,321,A0A0H3GLT4_F1,AFDB,2011.1.1,2011.1.1.9,3943757,1-250
alpha arrays,L-aspartase N-terminal domain-like,L-aspartase N-terminal domain-like,L-aspartase N-terminal domain-like,Lyase_1,A0A0H3GM66,nD1,4.3.1.27,Klebsiella pneumoniae subsp. pneumoniae (strain HS11286),Aspartate ammonia-lyase (Aspartase) (EC 4.3.1.1),KPHS_03740,478,A0A0H3GM66_F1,AFDB,4952.1.1,4952.1.1.1,3948777,6-140
a+b three layers,AraD-like aldolase/epimerase,AraD-like aldolase/epimerase,AraD-like aldolase/epimerase,Aldolase_II,A0A0H3GMG9,nD1,4.3.1.27,Klebsiella pneumoniae subsp. pneumoniae (strain HS11286),L-ribulose-5-phosphate 4-epimerase (EC 5.1.3.4) (Phosphoribulose isomerase),araD KPHS_07730,231,A0A0H3GMG9_F1,AFDB,281.1.1,281.1.1.1,3948445,1-230
a/b barrels,TIM beta/alpha-barrel,TIM barrels,TIM barrels,HpcH_HpaI,A0A0H3GMS0,nD1,4.3.1.27,Klebsiella pneumoniae subsp. pneumoniae (strain HS11286),"4-hydroxy-2-oxo-heptane-1,7-dioate aldolase (EC 4.1.2.52) (2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolase) (HHED aldolase) (4-hydroxy-2-ketoheptane-1,7-dioate aldolase) (HKHD aldolase)",hpcH hpaI KPHS_06290,265,A0A0H3GMS0_F1,AFDB,2002.1.1,2002.1.1.111,3945269,1-260
a/b three-layered sandwiches,Glutaminase/Asparaginase N-terminal domain,Glutaminase/Asparaginase N-terminal domain,Glutaminase/Asparaginase N-terminal domain,Asparaginase,A0A0H3GN50,nD1,4.3.1.27,Klebsiella pneumoniae subsp. pneumoniae (strain HS11286),asparaginase (EC 3.5.1.1),KPHS_20950,339,A0A0H3GN50_F1,AFDB,7546.1.1,7546.1.1.1,3944799,1-205
a/b barrels,TIM beta/alpha-barrel,Glycoside hydrolase/deacetylase,Glycoside hydrolase/deacetylase,YdjC,A0A0H3GN91,nD1,4.3.1.27,Klebsiella pneumoniae subsp. pneumoniae (strain HS11286),Chitooligosaccharide deacetylase (COD) (EC 3.5.1.105) (Chitin disaccharide deacetylase) (Chitobiose deacetylase) (Chitobiose-6P deacetylase) (Chitotriose deacetylase) (Chitotriose-6P deacetylase),chbG KPHS_21350,252,A0A0H3GN91_F1,AFDB,2002.3.1,2002.3.1.6,3942660,1-250
beta duplicates or obligate multimers,beta-propeller-like,beta-propeller,5-bladed,Glyco_hydro_32N,A0A0H3GPF2,nD1,4.3.1.27,Klebsiella pneumoniae subsp. pneumoniae (strain HS11286),Sucrose-6-phosphate hydrolase (EC 3.2.1.26) (Invertase),KPHS_13240,466,A0A0H3GPF2_F1,AFDB,5.1.2,5.1.2.1,3942507,6-345
a+b two layers,C-terminal domain in some PLP-dependent transferases,C-terminal domain in some PLP-dependent transferases,C-terminal domain in some PLP-dependent transferases,Aminotran_5,A0A0H3GPH5,nD1,4.3.1.27,Klebsiella pneumoniae subsp. pneumoniae (strain HS11286),Cysteine desulfurase (EC 2.8.1.7) (Selenocysteine beta-lyase) (SCL) (Selenocysteine lyase) (EC 4.4.1.16) (Selenocysteine reductase),sufS KPHS_31220,406,A0A0H3GPH5_F1,AFDB,3016.1.1,3016.1.1.3,3941763,1-400
a/b three-layered sandwiches,"The ""swivelling"" beta/beta/alpha domains","The ""swivelling"" beta/beta/alpha domain","The ""swivelling"" beta/beta/alpha domain",RraA-like,A0A0H3GPP1,nD1,4.3.1.27,Klebsiella pneumoniae subsp. pneumoniae (strain HS11286),4-hydroxy-4-methyl-2-oxoglutarate aldolase (HMG aldolase) (EC 4.1.1.112) (EC 4.1.3.17) (Oxaloacetate decarboxylase),KPHS_00760,115,A0A0H3GPP1_F1,AFDB,2487.1.1,2487.1.1.8,3945345,1-110
a/b three-layered sandwiches,"The ""swivelling"" beta/beta/alpha domains","The ""swivelling"" beta/beta/alpha domain","The ""swivelling"" beta/beta/alpha domain",RraA-like,A0A0H3GPP1,nD1,4.3.1.27,Klebsiella pneumoniae subsp. pneumoniae (strain HS11286),4-hydroxy-4-methyl-2-oxoglutarate aldolase (HMG aldolase) (EC 4.1.1.112) (EC 4.1.3.17) (Oxaloacetate decarboxylase),KPHS_00760,115,A0A0H3GPP1_F1,AFDB,2487.1.1,2487.1.1.8,3945345,1-110
a/b three-layered sandwiches,ClpP/crotonase,ClpP/crotonase,ClpP/crotonase,ECH_1,A0A0H3GPY7,nD1,4.3.1.27,Klebsiella pneumoniae subsp. pneumoniae (strain HS11286),Fatty acid oxidation complex subunit alpha [Includes: Enoyl-CoA hydratase/Delta(3)-cis-Delta(2)-trans-enoyl-CoA isomerase/3-hydroxybutyryl-CoA epimerase (EC 4.2.1.17) (EC 5.1.2.3) (EC 5.3.3.8); 3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)],fadB KPHS_01860,729,A0A0H3GPY7_F1,AFDB,2486.1.1,2486.1.1.1,3944736,1-305
a/b barrels,TIM beta/alpha-barrel,TIM barrels,TIM barrels,,A0A0H3GR15,nD1,4.3.1.27,Klebsiella pneumoniae subsp. pneumoniae (strain HS11286),Xylose isomerase (EC 5.3.1.5),xylA KPHS_05660,439,A0A0H3GR15_F1,AFDB,2002.1.1,NO_F_GROUP,3948956,6-439
a/b three-layered sandwiches,Isochorismatase-like hydrolases,Isochorismatase-like hydrolases,Isochorismatase-like hydrolases,Isochorismatase,A0A0H3GR97,nD1,4.3.1.27,Klebsiella pneumoniae subsp. pneumoniae (strain HS11286),Ureidoacrylate amidohydrolase RutB (EC 3.5.1.110),rutB KPHS_19130,236,A0A0H3GR97_F1,AFDB,7561.1.1,7561.1.1.1,3947668,6-230
a/b three-layered sandwiches,Rossmann-like,Tryptophan synthase beta subunit-like PLP-dependent enzymes,Tryptophan synthase beta subunit-like PLP-dependent enzymes,PALP,A0A0H3GRE2,nD1,4.3.1.27,Klebsiella pneumoniae subsp. pneumoniae (strain HS11286),Cysteine synthase (EC 2.5.1.47),KPHS_38370,303,A0A0H3GRE2_F1,AFDB,2003.4.1,2003.4.1.1,3946650,1-150
a/b three-layered sandwiches,PLP-dependent transferases,PLP-dependent transferases,PLP-dependent transferases,Aminotran_3,A0A0H3GRX4,nD1,4.3.1.27,Klebsiella pneumoniae subsp. pneumoniae (strain HS11286),Acetylornithine/succinyldiaminopimelate aminotransferase (ACOAT) (DapATase) (Succinyldiaminopimelate transferase) (EC 2.6.1.11) (EC 2.6.1.17),argD dapC KPHS_21180,406,A0A0H3GRX4_F1,AFDB,7577.1.1,7577.1.1.2,3948408,6-340
a/b three-layered sandwiches,Phosphorylase/hydrolase-like,Zn-dependent exopeptidases,Zn-dependent exopeptidases,AstE_AspA,A0A0H3GS67,nD1,4.3.1.27,Klebsiella pneumoniae subsp. pneumoniae (strain HS11286),Succinylglutamate desuccinylase (EC 3.5.1.96),astE KPHS_23990,331,A0A0H3GS67_F1,AFDB,2011.1.1,2011.1.1.9,3944460,1-255
beta sandwiches,jelly-roll,Double-stranded beta-helix,Double-stranded beta-helix,PMI_typeI_cat,A0A0H3GS87,nD1,4.3.1.27,Klebsiella pneumoniae subsp. pneumoniae (strain HS11286),mannose-6-phosphate isomerase (EC 5.3.1.8) (Phosphohexomutase) (Phosphomannose isomerase),KPHS_24190,392,A0A0H3GS87_F1,AFDB,10.12.1,10.12.1.62,3946978,"1-150,236-305"
beta sandwiches,jelly-roll,Double-stranded beta-helix,Double-stranded beta-helix,dTDP_sugar_isom,A0A0H3GSI9,nD1,4.3.1.27,Klebsiella pneumoniae subsp. pneumoniae (strain HS11286),"dTDP-4-dehydrorhamnose 3,5-epimerase (EC 5.1.3.13) (Thymidine diphospho-4-keto-rhamnose 3,5-epimerase)",KPHS_35550,184,A0A0H3GSI9_F1,AFDB,10.12.1,10.12.1.4,3946403,1-184
a/b three-layered sandwiches,Rossmann-like,Tryptophan synthase beta subunit-like PLP-dependent enzymes,Tryptophan synthase beta subunit-like PLP-dependent enzymes,PALP,A0A0H3GSS4,nD1,4.3.1.27,Klebsiella pneumoniae subsp. pneumoniae (strain HS11286),L-cysteine desulfhydrase Cds1 (EC 4.4.1.1),cds1 KPHS_11510,350,A0A0H3GSS4_F1,AFDB,2003.4.1,2003.4.1.1,3947928,6-155
a+b three layers,AraD-like aldolase/epimerase,AraD-like aldolase/epimerase,AraD-like aldolase/epimerase,Aldolase_II,A0A0H3GT45,nD1,4.3.1.27,Klebsiella pneumoniae subsp. pneumoniae (strain HS11286),3-oxo-tetronate 4-phosphate decarboxylase (EC 4.1.1.104),KPHS_25180,206,A0A0H3GT45_F1,AFDB,281.1.1,281.1.1.1,3944768,1-205
a/b three-layered sandwiches,Flavodoxin-like,Class I glutamine amidotransferase-like,"Aminoacid dehydrogenase-like, N-terminal domain",malic,A0A0H3GTA5,nD1,4.3.1.27,Klebsiella pneumoniae subsp. pneumoniae (strain HS11286),NAD-dependent malic enzyme (NAD-ME) (EC 1.1.1.38),maeA KPHS_28140,565,A0A0H3GTA5_F1,AFDB,2007.1.6,2007.1.6.1,3945725,11-270
a/b three-layered sandwiches,HAD domain-like,HAD domain-related,HAD-like,Hydrolase_3,A0A0H3GTS8,nD1,4.3.1.27,Klebsiella pneumoniae subsp. pneumoniae (strain HS11286),3-deoxy-D-manno-octulosonate 8-phosphate phosphatase KdsC (EC 3.1.3.45) (KDO 8-P phosphatase),KPHS_47470,188,A0A0H3GTS8_F1,AFDB,2006.1.1,2006.1.1.11,3947428,11-188
a/b three-layered sandwiches,P-loop domains-like,P-loop domains-related,P-loop containing nucleoside triphosphate hydrolases,PRK,A0A0H3GU50,nD1,4.3.1.27,Klebsiella pneumoniae subsp. pneumoniae (strain HS11286),Phosphoribulokinase (EC 2.7.1.19),KPHS_48920,289,A0A0H3GU50_F1,AFDB,2004.1.1,2004.1.1.44,3946847,1-289
a/b three-layered sandwiches,Phosphoglycerate mutase-like,Phosphoglycerate mutase-like,Phosphoglycerate mutase-like,His_Phos_1,A0A0H3GU79,nD1,4.3.1.27,Klebsiella pneumoniae subsp. pneumoniae (strain HS11286),"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase (BPG-dependent PGAM) (PGAM) (Phosphoglyceromutase) (dPGM) (EC 5.4.2.11)",gpmA KPHS_15910,250,A0A0H3GU79_F1,AFDB,7525.1.1,7525.1.1.1,3947355,6-245
a/b three-layered sandwiches,Methylglyoxal synthase-like,Methylglyoxal synthase-like,Methylglyoxal synthase-like,MGS,A0A0H3GV61,nD1,4.3.1.27,Klebsiella pneumoniae subsp. pneumoniae (strain HS11286),Methylglyoxal synthase (MGS) (EC 4.2.3.3),mgsA KPHS_18710,157,A0A0H3GV61_F1,AFDB,7543.1.1,7543.1.1.2,3948955,6-155
